,Author,Conference,Year,Paper,Editor,City,Edition
0,Sanjeev Saxena,MAXsat conference,2018,Least Upper Bound on the Cost of Optimum Binary Search Trees.,Delphine Longuet,Barcelona,edition 2018 MAXsat conference
1,Norbert Blum,UDL conference,2015,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,Walter J. Savitch,Madrid,edition 2015 UDL conference
2,Hans Ulrich Simon,MAXsat conference,2018,"Invariants, Composition, and Substitution.",Delphine Longuet,Lleida,edition 2018 MAXsat conference
3,Hans Ulrich Simon,MAXsat conference,2015,Maximum Entropy and the ,Delphine Longuet,Madrid,edition 2015 MAXsat conference
4,Norbert Blum,MAXsat conference,2017,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,George Leih,Barcelona,edition 2017 MAXsat conference
5,Arnold Schönhage,UDL conference,2017,A theory of structural stationarity in the ,Karl Meinke,Barcelona,edition 2017 UDL conference
6,Sanjeev Saxena,MAXsat conference,2015,Hex ist PSPACE-vollständig.,Karl Meinke,Lleida,edition 2015 MAXsat conference
7,Juha Honkala,UDL conference,2019,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,George Leih,Lleida,edition 2019 UDL conference
8,Nathan Goodman,UDL conference,2020,Disjunctivity and other properties of sets of pseudo-bordered words.,Karl Meinke,Balaguer,edition 2020 UDL conference
9,Oded Shmueli,UDL conference,2020,Disjunctivity and other properties of sets of pseudo-bordered words.,Karl Meinke,Balaguer,edition 2020 UDL conference
10,Juha Honkala,MAXsat conference,2019,Relational structures model of concurrency.,Walter J. Savitch,London,edition 2019 MAXsat conference
11,Arnold Schönhage,UDL conference,2015,On an Equivalence between Continuation and Stack Semantics.,Karl Meinke,Madrid,edition 2015 UDL conference
12,Arnold Schönhage,UDL conference,2015,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,George Leih,Balaguer,edition 2015 UDL conference
13,Norbert Blum,MAXsat conference,2021,A Note on the Density of Inherently Ambiguous Context-free Languages.,Delphine Longuet,Lleida,edition 2021 MAXsat conference
14,Hans Ulrich Simon,UDL conference,2017,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,Karl Meinke,Lleida,edition 2017 UDL conference
15,Juha Honkala,UDL conference,2021,Computational Algorithms for Networks of Queues with Rejection Blocking.,Walter J. Savitch,Balaguer,edition 2021 UDL conference
16,Sanjeev Saxena,UDL conference,2021,Compositional Refinements in Multiple Blackboard Systems.,Delphine Longuet,Balaguer,edition 2021 UDL conference
17,Nathan Goodman,UDL conference,2020,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Delphine Longuet,Madrid,edition 2020 UDL conference
18,Oded Shmueli,UDL conference,2020,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",Delphine Longuet,Madrid,edition 2020 UDL conference
19,Norbert Blum,MAXsat conference,2020,Automatic verification of concurrent systems using a formula-based compositional approach.,Karl Meinke,London,edition 2020 MAXsat conference
20,Sanjeev Saxena,MAXsat conference,2018,On Removing the Machine from the Language.,Delphine Longuet,Madrid,edition 2018 MAXsat conference
21,Hans Ulrich Simon,MAXsat conference,2018,Complete Problems for Space Bounded Subclasses of NP.,Delphine Longuet,Balaguer,edition 2018 MAXsat conference
22,Nathan Goodman,UDL conference,2019,Efficient controller synthesis for a fragment of MTL,Delphine Longuet,London,edition 2019 UDL conference
23,Oded Shmueli,UDL conference,2019,Efficient controller synthesis for a fragment of MTL,Delphine Longuet,London,edition 2019 UDL conference
24,Norbert Blum,UDL conference,2018,Two Notions of Correctness and Their Relation to Testing.,Delphine Longuet,Madrid,edition 2018 UDL conference
25,Hans Ulrich Simon,MAXsat conference,2015,Best Huffman Trees.,Walter J. Savitch,Balaguer,edition 2015 MAXsat conference
26,Arnold Schönhage,MAXsat conference,2016,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,George Leih,Lleida,edition 2016 MAXsat conference
27,Norbert Blum,UDL conference,2015,The Parsing Problem for Affix Grammars.,Karl Meinke,Balaguer,edition 2015 UDL conference
28,Nathan Goodman,MAXsat conference,2020,On Efficient Entreeings.,Karl Meinke,Balaguer,edition 2020 MAXsat conference
29,Oded Shmueli,MAXsat conference,2020,On Efficient Entreeings.,Karl Meinke,Balaguer,edition 2020 MAXsat conference
30,Nathan Goodman,UDL conference,2020,Persistence of Vector Replacement Systems is Decidable.,Walter J. Savitch,Madrid,edition 2020 UDL conference
31,Oded Shmueli,UDL conference,2020,Persistence of Vector Replacement Systems is Decidable.,Walter J. Savitch,Madrid,edition 2020 UDL conference
32,Hans Ulrich Simon,UDL conference,2017,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,Karl Meinke,Balaguer,edition 2017 UDL conference
33,Arnold Schönhage,UDL conference,2020,Functional Behavior in Data Spaces.,Walter J. Savitch,London,edition 2020 UDL conference
34,Norbert Blum,MAXsat conference,2019,Inductive Completion with Retracts.,Delphine Longuet,London,edition 2019 MAXsat conference
