,Paper,Keyword
0,Least Upper Bound on the Cost of Optimum Binary Search Trees.,DeepLearning
1,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.,android
2,"Invariants, Composition, and Substitution.",neo4j
3,"Invariants, Composition, and Substitution.",python
4,"Invariants, Composition, and Substitution.",pandas
5,Maximum Entropy and the ,qbits
6,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,tensor flow
7,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,NN
8,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.,qbits
9,A theory of structural stationarity in the ,qbits
10,A theory of structural stationarity in the ,tensor flow
11,A theory of structural stationarity in the ,android
12,Hex ist PSPACE-vollständig.,tensor flow
13,Hex ist PSPACE-vollständig.,CNN
14,Hex ist PSPACE-vollständig.,NN
15,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,pandas
16,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.,android
17,Disjunctivity and other properties of sets of pseudo-bordered words.,CNN
18,Relational structures model of concurrency.,pandas
19,Relational structures model of concurrency.,android
20,On an Equivalence between Continuation and Stack Semantics.,pandas
21,On an Equivalence between Continuation and Stack Semantics.,python
22,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,DeepLearning
23,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.,CNN
24,A Note on the Density of Inherently Ambiguous Context-free Languages.,qbits
25,A Note on the Density of Inherently Ambiguous Context-free Languages.,tensor flow
26,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.,DeepLearning
27,Computational Algorithms for Networks of Queues with Rejection Blocking.,python
28,Compositional Refinements in Multiple Blackboard Systems.,python
29,Compositional Refinements in Multiple Blackboard Systems.,NN
30,Compositional Refinements in Multiple Blackboard Systems.,qbits
31,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",tensor flow
32,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",neo4j
33,"Special issue on ""Combining Compositionality and Concurrency"": part 1.",DeepLearning
34,Automatic verification of concurrent systems using a formula-based compositional approach.,android
35,Automatic verification of concurrent systems using a formula-based compositional approach.,pandas
36,Automatic verification of concurrent systems using a formula-based compositional approach.,DeepLearning
37,On Removing the Machine from the Language.,neo4j
38,On Removing the Machine from the Language.,python
39,On Removing the Machine from the Language.,pandas
40,Complete Problems for Space Bounded Subclasses of NP.,qbits
41,Complete Problems for Space Bounded Subclasses of NP.,NN
42,Complete Problems for Space Bounded Subclasses of NP.,CNN
43,Efficient controller synthesis for a fragment of MTL,qbits
44,Two Notions of Correctness and Their Relation to Testing.,NN
45,Two Notions of Correctness and Their Relation to Testing.,qbits
46,Best Huffman Trees.,neo4j
47,Best Huffman Trees.,pandas
48,Best Huffman Trees.,DeepLearning
49,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.,qbits
50,The Parsing Problem for Affix Grammars.,pandas
51,The Parsing Problem for Affix Grammars.,tensor flow
52,The Parsing Problem for Affix Grammars.,neo4j
53,On Efficient Entreeings.,python
54,On Efficient Entreeings.,tensor flow
55,On Efficient Entreeings.,neo4j
56,Persistence of Vector Replacement Systems is Decidable.,qbits
57,Persistence of Vector Replacement Systems is Decidable.,neo4j
58,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,python
59,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,CNN
60,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.,android
61,Functional Behavior in Data Spaces.,CNN
62,Functional Behavior in Data Spaces.,tensor flow
63,Functional Behavior in Data Spaces.,NN
64,Inductive Completion with Retracts.,DeepLearning
65,Inductive Completion with Retracts.,neo4j
66,Parallel Integer Sorting and Simulation Amongst CRCW Models.,NN
67,Pattern Matching in Trees and Nets.,neo4j
68,NP-complete Problems Simplified on Tree Schemas.,android
69,NP-complete Problems Simplified on Tree Schemas.,DeepLearning
70,On the Power of Chain Rules in Context Free Grammars.,qbits
71,On the Power of Chain Rules in Context Free Grammars.,python
72,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,DeepLearning
73,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.,neo4j
74,A characterization of rational D0L power series.,NN
75,The Derivation of Systolic Implementations of Programs.,python
76,The Derivation of Systolic Implementations of Programs.,tensor flow
77,Fifo Nets Without Order Deadlock.,pandas
78,On the Complementation Rule for Multivalued Dependencies in Database Relations.,DeepLearning
79,Equational weighted tree transformations.,pandas
80,Merged processes: a new condensed representation of Petri net behaviour.,neo4j
81,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.,pandas
82,A Three-Stage Construction for Multiconnection Networks.,python
83,The Expressive Power of Delay Operators in SCCS.,DeepLearning
84,The Expressive Power of Delay Operators in SCCS.,qbits
85,Calculi for Interaction.,pandas
86,A Synthesis of Several Sorting Algorithms.,tensor flow
87,A Synthesis of Several Sorting Algorithms.,CNN
88,A Workload Model Representative of Static and Dynamic Characteristics.,NN
89,Gray visiting Motzkins.,CNN
90,Trace- and failure-based semantics for responsiveness.,tensor flow
91,Trace- and failure-based semantics for responsiveness.,python
92,Trace- and failure-based semantics for responsiveness.,pandas
93,Branching Processes in the Analysis of the Heights of Trees.,CNN
94,Branching Processes in the Analysis of the Heights of Trees.,qbits
