,paper,reference
0,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Performance Preorder and Competitive Equivalence.
1,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Backtracking in Recursive Computations.
2,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,On the Complementation Rule for Multivalued Dependencies in Database Relations.
3,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
4,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,The Parsing Problem for Affix Grammars.
5,Multi-Granularity Locking for Nested Transactions: A Proof Using a Possibilities Mapping.,Complete Parameterized Families of Job Scheduling Strategies.
6,Bounded Quantification and Relations Recognizable by Finite Automata.,Optimizing the Costs of Hierarchical Quorum Consensus.
7,Bounded Quantification and Relations Recognizable by Finite Automata.,Concurrent Bisimulations in Petri Nets.
8,Bounded Quantification and Relations Recognizable by Finite Automata.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
9,Bounded Quantification and Relations Recognizable by Finite Automata.,Recognizability of graph and pattern languages.
10,Bounded Quantification and Relations Recognizable by Finite Automata.,"Semantics, calculi, and analysis for object-oriented specifications."
11,Bounded Quantification and Relations Recognizable by Finite Automata.,Performance Evaluation of Fork and Join Synchronization Primitives.
12,Bounded Quantification and Relations Recognizable by Finite Automata.,Efficient LL(1) Error Correction and Recovery Using Only Insertions.
13,Bounded Quantification and Relations Recognizable by Finite Automata.,"Invariants, Composition, and Substitution."
14,Bounded Quantification and Relations Recognizable by Finite Automata.,On an Equivalence between Continuation and Stack Semantics.
15,Bounded Quantification and Relations Recognizable by Finite Automata.,A Note on the Density of Inherently Ambiguous Context-free Languages.
16,Bounded Quantification and Relations Recognizable by Finite Automata.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
17,Bounded Quantification and Relations Recognizable by Finite Automata.,Inductive Completion with Retracts.
18,Bounded Quantification and Relations Recognizable by Finite Automata.,Worst Case Performance of Weighted Buddy Systems.
19,A Complete Algebraic Characterization of Behavioral Subtyping.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
20,A Complete Algebraic Characterization of Behavioral Subtyping.,Hierarchies of Complete Problems.
21,A Complete Algebraic Characterization of Behavioral Subtyping.,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
22,A Complete Algebraic Characterization of Behavioral Subtyping.,COSY - A System Specification Language Based on Paths and Processes.
23,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
24,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,A Comparison of Two Synchronizing Concepts.
25,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,An Efficiency Preorder for Processes.
26,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Correctness of the Compiling Process Based on Axiomatic Semantics.
27,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Hex ist PSPACE-vollständig.
28,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,On Removing the Machine from the Language.
29,Efficient execution of dynamically controllable simple temporal networks with uncertainty.,Eliminating Unit Productions from LR Parsers.
30,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Probabilistic bisimulation for realistic schedulers.
31,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Multitype Multiprogramming Models.
32,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Sur une Conjecture de S. Greibach.
33,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,A Comparison of Two Synchronizing Concepts.
34,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Inhibitionsfelder.
35,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Backtracking in Recursive Computations.
36,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
37,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,A Note on the Density of Inherently Ambiguous Context-free Languages.
38,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Inductive Completion with Retracts.
39,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.,Contextual Nets.
40,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Symbolic checking of Fuzzy CTL on Fuzzy Program Graph.
41,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,On the Synchronization in Parallel Communicating Grammar Systems.
42,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
43,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
44,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Some properties of the disjunctive languages contained in 
45,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Calculi for Interaction.
46,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,A Synthesis of Several Sorting Algorithms.
47,Behavioural Approaches to Algebraic Specifications: A Comparative Study.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
48,Instruction sequence processing operators.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
49,Instruction sequence processing operators.,An Efficiency Preorder for Processes.
50,Instruction sequence processing operators.,A new natural structural congruence in the pi-calculus with replication.
51,Instruction sequence processing operators.,A Proof System for Distributed Processes.
52,Instruction sequence processing operators.,A first step in characterizing three-element codes.
53,Instruction sequence processing operators.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
54,Instruction sequence processing operators.,Complete Parameterized Families of Job Scheduling Strategies.
55,Instruction sequence processing operators.,Eliminating Unit Productions from LR Parsers.
56,What is Failure? An Approach to Constructive Negation.,Behavioural Approaches to Algebraic Specifications: A Comparative Study.
57,What is Failure? An Approach to Constructive Negation.,Instruction sequence processing operators.
58,What is Failure? An Approach to Constructive Negation.,Extended multi bottom-up tree transducers.
59,What is Failure? An Approach to Constructive Negation.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
60,What is Failure? An Approach to Constructive Negation.,Optimal Divide-and-Conquer to Compute Measure and Contour for a Set of Iso-Rectangles.
61,What is Failure? An Approach to Constructive Negation.,Backtracking in Recursive Computations.
62,What is Failure? An Approach to Constructive Negation.,Pattern Matching in Trees and Nets.
63,What is Failure? An Approach to Constructive Negation.,Gray visiting Motzkins.
64,STG decomposition strategies in combination with unfolding.,Efficient execution of dynamically controllable simple temporal networks with uncertainty.
65,STG decomposition strategies in combination with unfolding.,Hierarchies of Complete Problems.
66,STG decomposition strategies in combination with unfolding.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
67,STG decomposition strategies in combination with unfolding.,A Conservation Law for G/G/m Queueing Systems.
68,STG decomposition strategies in combination with unfolding.,A general account of coinduction up-to.
69,STG decomposition strategies in combination with unfolding.,On the Generalization of Higman and Kruskal's Theorems to Regular Languages and Rational Trees.
70,STG decomposition strategies in combination with unfolding.,Does indirect addressing matter? - A note.
71,STG decomposition strategies in combination with unfolding.,Redundant Proofs of Non-Interference in Levin-Gries CSP Program Proofs.
72,STG decomposition strategies in combination with unfolding.,Stochastic cooperative distributed grammar systems and random graphs.
73,STG decomposition strategies in combination with unfolding.,MAT learners for tree series: an abstract data type and two realizations.
74,STG decomposition strategies in combination with unfolding.,On Removing the Machine from the Language.
75,STG decomposition strategies in combination with unfolding.,The Parsing Problem for Affix Grammars.
76,STG decomposition strategies in combination with unfolding.,COSY - A System Specification Language Based on Paths and Processes.
77,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
78,Quad Trees: A Data Structure for Retrieval on Composite Keys.,The Construction of Operator Interfaces Based on Logical Input Devices.
79,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Gobang ist PSPACE-vollständig.
80,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Context-Free Graph Grammars and Concatenation of Graphs.
81,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Algorithms for Fast Evaluation of Boolean Expressions.
82,Quad Trees: A Data Structure for Retrieval on Composite Keys.,"Demonic, angelic and unbounded probabilistic choices in sequential programs."
83,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Synchronized regular expressions.
84,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Concurrent Access to Data.
85,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Optimal Multiprogramming.
86,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Performance Preorder and Competitive Equivalence.
87,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Models for Reactivity.
88,Quad Trees: A Data Structure for Retrieval on Composite Keys.,A Proof System for Distributed Processes.
89,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Paramodulated Connection Graphs.
90,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Efficient LL(1) Error Correction and Recovery Using Only Insertions.
91,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Calculi for Interaction.
92,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Trace- and failure-based semantics for responsiveness.
93,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On an Equivalence between Continuation and Stack Semantics.
94,Quad Trees: A Data Structure for Retrieval on Composite Keys.,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
95,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On Efficient Entreeings.
96,Quad Trees: A Data Structure for Retrieval on Composite Keys.,On Parallel Integer Sorting.
97,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,On the Synchronization in Parallel Communicating Grammar Systems.
98,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Solving HPP and SAT by P Systems with Active Membranes and Separation Rules.
99,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Optimizing the Costs of Hierarchical Quorum Consensus.
100,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Multitype Multiprogramming Models.
101,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A Functional Model for Describing and Reasoning About Time Behaviour of Computing Systems.
102,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,An Efficiency Preorder for Processes.
103,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A Principle of Independence for Binary Tree Searching.
104,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,On the Number of Active-Operations Needed to Compute the Discrete Fourier Transform.
105,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Optimum Multiway Search Trees.
106,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Finite State Relational Programs.
107,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,The Expressive Power of Delay Operators in SCCS.
108,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,A Workload Model Representative of Static and Dynamic Characteristics.
109,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,On an Equivalence between Continuation and Stack Semantics.
110,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Modelling higher-order dual nondeterminacy.
111,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Attribute (Re)evaluation in OPTRAN.
112,On the Number of Relational Operators Necessary to Compute Certain Functions of Real Variables.,Domain Independence and the Relational Calculus.
113,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Weakly Context-Sensitive Languages as Model for Programming Languages.
114,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Performance Preorder and Competitive Equivalence.
115,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,A Synthesis of Several Sorting Algorithms.
116,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
117,Probabilistic bisimulation for realistic schedulers.,A Note on the Density of Inherently Ambiguous Context-free Languages.
118,Probabilistic bisimulation for realistic schedulers.,Best Huffman Trees.
119,Explaining the Wheel Sieve.,A Complete Algebraic Characterization of Behavioral Subtyping.
120,Explaining the Wheel Sieve.,Special issue: Synthesis and SYNT 2014.
121,Explaining the Wheel Sieve.,Extended multi bottom-up tree transducers.
122,Explaining the Wheel Sieve.,Ein Vollständigkeitssatz für Programme und Schaltkreise.
123,Explaining the Wheel Sieve.,Type-based information flow analysis for the pi-calculus.
124,Explaining the Wheel Sieve.,Applications of Efficient Mergeable Heaps for Optimization Problems on Trees.
125,Explaining the Wheel Sieve.,On weighted first-order logics with discounting.
126,Explaining the Wheel Sieve.,Does indirect addressing matter? - A note.
127,Explaining the Wheel Sieve.,A Model of a Time Sharing Virtual Memory System Solved Using Equivalence and Decomposition Methods.
128,Explaining the Wheel Sieve.,Relaxed red-black trees with group updates.
129,Explaining the Wheel Sieve.,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.
130,Explaining the Wheel Sieve.,On Real-Time Cellular Automata and Trellis Automata.
131,Explaining the Wheel Sieve.,A Note on Synthesis and Classification of Sorting Algorithms.
132,Explaining the Wheel Sieve.,"Axioms for Generalized Graphs, Illustrated by a Cantor-Bernstein Proposition."
133,Explaining the Wheel Sieve.,Correctness of the Compiling Process Based on Axiomatic Semantics.
134,Explaining the Wheel Sieve.,Paramodulated Connection Graphs.
135,Explaining the Wheel Sieve.,Trace- and failure-based semantics for responsiveness.
136,Explaining the Wheel Sieve.,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
137,Explaining the Wheel Sieve.,Automatic verification of concurrent systems using a formula-based compositional approach.
138,Explaining the Wheel Sieve.,Best Huffman Trees.
139,Explaining the Wheel Sieve.,Inductive Completion with Retracts.
140,Explaining the Wheel Sieve.,Complete Parameterized Families of Job Scheduling Strategies.
141,Another Polynomial Homomorphism.,STG decomposition strategies in combination with unfolding.
142,Another Polynomial Homomorphism.,A Study of Queueing Networks with Deterministic Service and Application to Computer Networks.
143,Another Polynomial Homomorphism.,Gobang ist PSPACE-vollständig.
144,Another Polynomial Homomorphism.,Multitype Multiprogramming Models.
145,Another Polynomial Homomorphism.,Recording the Use of Memory in Right-Boundary Grammars and Push-Down Automata.
146,Another Polynomial Homomorphism.,Extended multi bottom-up tree transducers.
147,Another Polynomial Homomorphism.,Type-based information flow analysis for the pi-calculus.
148,Another Polynomial Homomorphism.,Algorithms for Fast Evaluation of Boolean Expressions.
149,Another Polynomial Homomorphism.,Recognizability of graph and pattern languages.
150,Another Polynomial Homomorphism.,Does indirect addressing matter? - A note.
151,Another Polynomial Homomorphism.,Classes of Systolic Y-Tree Automata and a Comparison with Systolic Trellis Automata.
152,Another Polynomial Homomorphism.,Complexity Theory and the Operational Structure of Algebraic Programming Systems.
153,Another Polynomial Homomorphism.,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
154,Another Polynomial Homomorphism.,A Synthesis of Several Sorting Algorithms.
155,Another Polynomial Homomorphism.,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
156,Another Polynomial Homomorphism.,On Removing the Machine from the Language.
157,Another Polynomial Homomorphism.,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
158,Variance Reduction Techniques for the Simulation of Markov Process.,Another Polynomial Homomorphism.
159,Variance Reduction Techniques for the Simulation of Markov Process.,High Level Tree Transducers and Iterated Pushdown Tree Transducers.
160,Variance Reduction Techniques for the Simulation of Markov Process.,Multitype Multiprogramming Models.
161,Variance Reduction Techniques for the Simulation of Markov Process.,Program Refinement in Fair Transition Systems.
162,Variance Reduction Techniques for the Simulation of Markov Process.,On the Look-Ahead Problem in Lexical Analysis.
163,Variance Reduction Techniques for the Simulation of Markov Process.,Data Encodings and Their Costs.
164,Variance Reduction Techniques for the Simulation of Markov Process.,Recognizability of graph and pattern languages.
165,Variance Reduction Techniques for the Simulation of Markov Process.,Some properties of the disjunctive languages contained in 
166,Variance Reduction Techniques for the Simulation of Markov Process.,A Gap Between the Actual Complexity of Permutations and Their Entropy Defined by Stoß.
167,Variance Reduction Techniques for the Simulation of Markov Process.,Exponentially decreasing number of operations in balanced trees.
168,Variance Reduction Techniques for the Simulation of Markov Process.,Compositional Refinements in Multiple Blackboard Systems.
169,Variance Reduction Techniques for the Simulation of Markov Process.,Complete Problems for Space Bounded Subclasses of NP.
170,Variance Reduction Techniques for the Simulation of Markov Process.,Complete Parameterized Families of Job Scheduling Strategies.
171,Variance Reduction Techniques for the Simulation of Markov Process.,Compositional schedulability analysis of real-time actor-based systems.
172,State complexity of deletion and bipolar deletion.,Optimizing the Costs of Hierarchical Quorum Consensus.
173,State complexity of deletion and bipolar deletion.,Extended multi bottom-up tree transducers.
174,State complexity of deletion and bipolar deletion.,How to Calculate Symmetries of Petri Nets.
175,State complexity of deletion and bipolar deletion.,The Lattice of Data Refinement.
176,State complexity of deletion and bipolar deletion.,A first step in characterizing three-element codes.
177,State complexity of deletion and bipolar deletion.,NP-complete Problems Simplified on Tree Schemas.
178,State complexity of deletion and bipolar deletion.,Automatic verification of concurrent systems using a formula-based compositional approach.
179,State complexity of deletion and bipolar deletion.,Inductive Completion with Retracts.
180,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Minimum Feedback Vertex Sets in Cocomparability Graphs and Convex Bipartite Graphs.
181,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Infinite Proof Rules for Loops.
182,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,A Characterization of Context-free String Languages by Directed Node-label Controlled Graph Grammars.
183,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Characterization of all Optimal Networks for a Simultaneous Computation of AND and NOR.
184,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Performance Evaluation of Fork and Join Synchronization Primitives.
185,Decomposition of Graphs and Monotone Formula Size of Homogeneous Functions.,Optimal Multiprogramming.
