,Author,Editor,Paper
0,Norbert Blum,Jürgen Nehmer,Parallel Integer Sorting and Simulation Amongst CRCW Models.
1,Arnold Schönhage,Isi Mitrani,Pattern Matching in Trees and Nets.
2,Hans Ulrich Simon,Jürgen Nehmer,NP-complete Problems Simplified on Tree Schemas.
3,Arnold Schönhage,Isi Mitrani,On the Power of Chain Rules in Context Free Grammars.
4,Sanjeev Saxena,Joseph M. Morris,Schnelle Multiplikation von Polynomen über Körpern der Charakteristik 2.
5,Sanjeev Saxena,Patrick Cousot,A characterization of rational D0L power series.
6,Oded Shmueli,Jürgen Nehmer,The Derivation of Systolic Implementations of Programs.
7,Nathan Goodman,Patrick Cousot,Fifo Nets Without Order Deadlock.
8,Oded Shmueli,Isi Mitrani,On the Complementation Rule for Multivalued Dependencies in Database Relations.
9,Hans Ulrich Simon,Patrick Cousot,Equational weighted tree transformations.
10,Norbert Blum,Jürgen Nehmer,Merged processes: a new condensed representation of Petri net behaviour.
11,Sanjeev Saxena,Jürgen Nehmer,Verifying a simplification of mutual exclusion by Lycklama-Hadzilacos.
12,Hans Ulrich Simon,Patrick Cousot,A Three-Stage Construction for Multiconnection Networks.
13,Sanjeev Saxena,Patrick Cousot,The Expressive Power of Delay Operators in SCCS.
14,Juha Honkala,Isi Mitrani,Calculi for Interaction.
15,Juha Honkala,Patrick Cousot,A Synthesis of Several Sorting Algorithms.
16,Sanjeev Saxena,Joseph M. Morris,A Workload Model Representative of Static and Dynamic Characteristics.
17,Norbert Blum,Patrick Cousot,Gray visiting Motzkins.
18,Arnold Schönhage,Joseph M. Morris,Trace- and failure-based semantics for responsiveness.
19,Hans Ulrich Simon,Joseph M. Morris,Branching Processes in the Analysis of the Heights of Trees.
20,Hans Ulrich Simon,George Leih,Least Upper Bound on the Cost of Optimum Binary Search Trees.
21,Arnold Schönhage,Walter J. Savitch,The Mathematical Analysis of the Computer System Modeled as a Two Stage Cyclic Queue.
22,Oded Shmueli,Delphine Longuet,"Invariants, Composition, and Substitution."
23,Nathan Goodman,Walter J. Savitch,Maximum Entropy and the 
24,Hans Ulrich Simon,Karl Meinke,Abstraction and Performance in the Design of Parallel Programs: An Overview of the SAT Approach.
25,Norbert Blum,Karl Meinke,A theory of structural stationarity in the 
26,Sanjeev Saxena,Karl Meinke,Hex ist PSPACE-vollständig.
27,Hans Ulrich Simon,Karl Meinke,Evolutionary Systems: A Language Generating Device Inspired by Evolving Communities of Cells.
28,Arnold Schönhage,Walter J. Savitch,Disjunctivity and other properties of sets of pseudo-bordered words.
29,Norbert Blum,Karl Meinke,Relational structures model of concurrency.
30,Oded Shmueli,George Leih,On an Equivalence between Continuation and Stack Semantics.
31,Nathan Goodman,Delphine Longuet,Nonterminals Versus Homomorphisms in Defining Languages for Some Classes of Rewriting Systems.
32,Sanjeev Saxena,George Leih,A Note on the Density of Inherently Ambiguous Context-free Languages.
33,Oded Shmueli,Karl Meinke,Time Lower Bounds for Parallel Sorting on a Mesh-Conected Processor Array.
34,Oded Shmueli,Delphine Longuet,Computational Algorithms for Networks of Queues with Rejection Blocking.
35,Nathan Goodman,Karl Meinke,Compositional Refinements in Multiple Blackboard Systems.
36,Juha Honkala,George Leih,"Special issue on ""Combining Compositionality and Concurrency"": part 1."
37,Nathan Goodman,Karl Meinke,Automatic verification of concurrent systems using a formula-based compositional approach.
38,Sanjeev Saxena,Walter J. Savitch,On Removing the Machine from the Language.
39,Nathan Goodman,Delphine Longuet,Complete Problems for Space Bounded Subclasses of NP.
40,Arnold Schönhage,Delphine Longuet,Efficient controller synthesis for a fragment of MTL
41,Sanjeev Saxena,Delphine Longuet,Two Notions of Correctness and Their Relation to Testing.
42,Norbert Blum,Walter J. Savitch,Best Huffman Trees.
43,Nathan Goodman,George Leih,Behandlung verschiedener INTEGER-Darstellungen durch optimierende Compiler.
44,Norbert Blum,Karl Meinke,The Parsing Problem for Affix Grammars.
45,Hans Ulrich Simon,George Leih,On Efficient Entreeings.
46,Norbert Blum,George Leih,Persistence of Vector Replacement Systems is Decidable.
47,Oded Shmueli,Delphine Longuet,Implementing Daubechies Wavelet Transform with Weighted Finite Automata.
48,Norbert Blum,Karl Meinke,Functional Behavior in Data Spaces.
49,Nathan Goodman,Delphine Longuet,Inductive Completion with Retracts.
